control_value,R,G,B,W
0.798,1118,1272,1352,3723
0.799,1117,1272,1353,3724
0.8,1117,1273,1354,3725
0.801,1116,1273,1355,3726
0.802,1115,1274,1356,3727
0.803,1115,1274,1357,3727
0.804,1114,1274,1357,3728
0.805,1114,1275,1358,3729
0.806,1113,1275,1359,3729
0.807,1113,1275,1360,3730
0.808,1112,1276,1361,3731
0.809,1112,1276,1361,3732
0.81,1111,1276,1362,3732
0.811,1111,1276,1363,3733
0.812,1110,1277,1363,3734
0.813,1110,1277,1364,3734
0.814,1109,1277,1364,3735
0.815,1109,1278,1366,3736
0.816,1108,1278,1367,3737
0.817,1107,1278,1367,3737
0.818,1107,1279,1368,3738
0.819,1106,1279,1369,3739
0.82,1106,1279,1369,3740
0.821,1105,1279,1370,3740
0.822,1105,1280,1370,3740
0.823,1104,1280,1372,3741
0.824,1103,1281,1373,3743
0.825,1103,1281,1373,3743
0.826,1102,1281,1374,3744
0.827,1102,1281,1374,3744
0.828,1102,1281,1375,3745
0.829,1101,1282,1376,3745
0.83,1101,1282,1376,3746
0.831,1100,1283,1377,3747
0.832,1099,1283,1379,3748
0.833,1099,1283,1379,3748
0.834,1098,1284,1380,3749
0.835,1098,1284,1380,3749
0.836,1097,1284,1381,3750
0.837,1096,1284,1382,3750
0.838,1096,1285,1383,3752
0.839,1096,1285,1383,3752
0.84,1095,1285,1384,3753
0.841,1094,1285,1385,3753
0.842,1094,1286,1385,3754
0.843,1093,1286,1387,3756
0.844,1093,1286,1387,3755
0.845,1092,1287,1388,3756
0.846,1091,1287,1389,3757
0.847,1091,1287,1389,3758
0.848,1090,1288,1390,3759
0.849,1090,1288,1391,3759
0.85,1090,1288,1391,3760
0.851,1088,1289,1393,3761
0.852,1088,1289,1394,3762
0.853,1088,1289,1394,3762
0.854,1087,1290,1395,3763
0.855,1087,1290,1395,3763
0.856,1086,1290,1397,3765
0.857,1085,1291,1398,3766
0.858,1085,1291,1398,3766
0.859,1084,1291,1399,3767
0.86,1084,1292,1400,3768
0.861,1083,1292,1400,3768
0.862,1083,1292,1401,3769
0.863,1082,1292,1401,3769
0.864,1081,1293,1403,3771
0.865,1081,1293,1404,3771
0.866,1080,1294,1404,3772
0.867,1080,1294,1405,3772
0.868,1079,1294,1406,3773
0.869,1079,1294,1406,3774
0.87,1078,1295,1407,3775
0.871,1077,1295,1408,3775
0.872,1077,1295,1409,3776
0.873,1077,1296,1409,3776
0.874,1076,1296,1410,3777
0.875,1075,1296,1412,3779
0.876,1075,1297,1412,3779
0.877,1074,1297,1413,3779
0.878,1074,1297,1413,3780
0.879,1073,1297,1414,3781
0.88,1073,1298,1415,3781
0.881,1073,1298,1415,3782
0.882,1072,1298,1416,3783
0.883,1071,1299,1417,3784
0.884,1071,1299,1417,3784
0.885,1070,1299,1418,3785
0.886,1070,1299,1419,3785
0.887,1069,1300,1420,3786
0.888,1068,1300,1420,3787
0.889,1068,1300,1421,3787
0.89,1067,1301,1422,3788
0.891,1066,1301,1423,3789
0.892,1066,1301,1423,3790
0.893,1066,1302,1424,3790
0.894,1065,1302,1425,3790
0.895,1065,1302,1425,3791
0.896,1064,1302,1426,3792
0.897,1064,1302,1426,3792
0.898,1063,1303,1428,3794
0.899,1062,1303,1429,3794
0.9,1062,1304,1429,3795
0.901,1061,1304,1430,3795
0.902,1060,1305,1432,3797
0.903,1060,1305,1432,3798
0.904,1059,1305,1433,3798
0.905,1059,1305,1434,3799
0.906,1058,1306,1434,3799
0.907,1058,1306,1435,3800
0.908,1057,1306,1435,3800
0.909,1057,1306,1437,3801
